,score,tone_id,tone_name,sentence_id,text
0,0.903844,joy,Joy,0,"Philippines 🇵🇭 is ranked 15th in the Global Crypto Adoption Index and we're excited to be working with the awesome…  With strange pockets of mania in the market, crypto, NFTs, $LCID $RIVN and growth stocks increasingly hard to decip…   This is good project for crypto market This a good &amp; promising project, their market work is very good, I hope the development of this project is getting…  The Crypto Market GETTING CRAZY! (Bitcoin Crash Explained!) | Whales Buying *These* Altcoins!"
1,0.525926,confident,Confident,1,"Our Marketing Token revolutionizes the way brands interact with their audience, which means new opportunities for b…  @_felixnz _feed Lmfao pay off all my debts."
2,0.775466,anger,Anger,2,Yeah 200k student loans.. fuck that noise.
3,0.753988,joy,Joy,3,"Ill make more mone…  Just incase you guys were wondering how to get involved with the new USwapTicketGame, weve made it nice and easy f…   Do you think there will be a big correction in gaming tokens in the bear market creating a brilliant…  Quiet times in the crypto market allow you to think clearly and come up with a plan."
4,0.679188,joy,Joy,5,Join REIMAGINE V11 for Day 1 of the 1 virtual crypto and blockchain conference!
5,0.560098,analytical,Analytical,5,Join REIMAGINE V11 for Day 1 of the 1 virtual crypto and blockchain conference!
6,0.705784,analytical,Analytical,10,"with  it creates a more competitive, and better market overall service provided to the buye…  $BMTX - Market Cap Comparison"
7,0.532616,analytical,Analytical,12,They have bank charter and high potential to offer crypto soon... yet they are worth…    I think the market learnt a lot from the last time he tweeted about crypto.
8,0.722088,joy,Joy,14,"The common denominator for pretty much all my best shor…  Use money to make more money, don’t just use it all for spending."
9,0.5538,tentative,Tentative,17,Dm me now for more information on how to…   Prior apex at around .28 in the short term.
10,0.595347,analytical,Analytical,21,They give  quality crypt…   _Contractor You must join this  private channel before  everyone start using it !
11,0.515917,confident,Confident,21,They give  quality crypt…   _Contractor You must join this  private channel before  everyone start using it !
12,0.734441,joy,Joy,22,They give best crypt…
