,Tweets,Subjectivity,Polarity,Analysis
0," Accept worst case outcome &amp; assign it a probability, which is usually very low. Now think of good things in life &amp; assign them probabilities – many are certain!

Bringing anxiety/fear to the conscious mind saps it of limbic emotional strength.

Cheery fatalism is very effective.",0.6901587301587302,0.22753968253968251,Positive
1,"  Limiting factor for first launch is regulatory approval. Thereafter, fundamental issue is solving engine production.

Prototypes are easy, production is hard.",0.5694444444444445,0.13055555555555556,Positive
2,"_Gardi True, although it will look clean with close out panels installed. 

Raptor 2 has significant improvements in every way, but a complete design overhaul is necessary for the engine that can actually make life multiplanetary. It won’t be called Raptor.",0.6208333333333333,0.19861111111111115,Positive
3,12 million pounds of thrust at liftoff ,0.0,0.0,Neutral
4,"  Indeed. Over time, Tesla will generate hundreds of billions for the government in terms of employee income tax, product sales tax and property tax, in addition to profit taxation.",0.0,0.0,Neutral
5, Accurate thread,0.6333333333333334,0.4000000000000001,Positive
6,    We are waiting for permit approval from Santa Monica,0.0,0.0,Neutral
7,     I like to dig my grave real deep 🤣🤣,0.6000000000000001,0.0,Neutral
8,    Exactly,0.25,0.25,Positive
9, Burry is a broken clock,0.4,-0.4,Negative
0,"MtGox rehabilitation plan is now being finalized

Major win for all the OG crypto holders WGMI 💙",0.45,0.43125,Positive
1,"Fan Tokens have hit Binance's Launchad. 
The first two being Lazio and Porto Fan Token. 

But how do they work? How've they performed? And what teams could be next? 
Find out here 👇
 ",0.16666666666666666,0.125,Positive
2,"KAKA NFT World is a metaverse gaming ecosystem composed of global and independent IP and NFTs.

Keep up with KAKA 👇 ",0.0625,0.0,Neutral
3, ,0.0,0.0,Neutral
4, ,0.0,0.0,Neutral
5,"""Crypto poses imminent threat to financial stability"" 

They say as they add trillions of dollars to the circulating supply of their fiat currency 😅",0.0,0.0,Neutral
6,_Shib  ,0.0,0.0,Neutral
7, ,0.0,0.0,Neutral
8,"Unlike , it seems like twitter isn't interested in investing in Bitcoin quite yet.

Find out why, here: ",0.5,0.25,Positive
9,"🎉 Earn 20 USDT + Mint Limited Edition NFTs 

— HOW TO JOIN —
1️⃣ Register for _com: 
2️⃣ Participate in the Draw &amp; Earn campaign to win: 

🚀 ApolloX: The best crypto futures exchange with up to 100x leverage &amp; no KYC. ",0.280952380952381,0.5761904761904763,Positive
0,"Show me the money!

 has raised $26 million aimed at advancing its proof-of-stake blockchain. ",0.0,0.0,Neutral
1,"Another big name enters the metaverse! 

Crypto exchange  launches a $100 million metaverse fund for early-stage projects, including the development of blockchain-based games, nonfungible tokens, and decentralized applications. ",0.1,0.0,Neutral
2,From a $715 million Bitcoin profit to a potential $220 million loss;  explains why BTC bulls are in troubled waters after the recent price dip. ,0.75,-0.16666666666666666,Negative
3,"Batter up! 

Australian baseball team  announces a partnership with the Bitcoin payment processor  that allows it to pay professional players and staff in BTC. ",0.05,0.05,Positive
4,"The home of the Lakers is getting a new crypto-themed look! 

 buys the naming rights to the L.A. arena that will formerly be known as the Staples Center in a $700 million, 20-year deal. ",0.18484848484848485,0.02348484848484848,Positive
5,Canada is back on track to further cryptocurrency adoption after the collapse of its largest crypto exchange that shook the country two years prior. ,0.16666666666666666,0.0,Neutral
6,"New level unlocked.

 is now valued at $3.2 billion, joining over a dozen other crypto-focused companies in achieving unicorn status. ",0.4147727272727273,0.005681818181818177,Positive
7,"There's a new VeChain update; it's more green and more secure. 

The latest VeChain PoA 2.0 consensus upgrade aims to improve scalability and critical operations and hopefully make the project even friendlier to the environment. ",0.5792207792207792,0.26233766233766237,Positive
8,Phil Spencer has revealed that he is not keen on embracing NFTs. ,0.0,0.0,Neutral
9,"“I think I can, I think I can!“ (Altcoins, probably).
 
With Bitcoin barely holding onto $60K, it was the smaller altcoins’ turn to be the little engines that could and rally their way to the top.
",0.4,0.090625,Positive
0,SHIBARMY 🐕 or DOGEARMY 🐶? Let's see who wins⬇️,0.0,0.0,Neutral
1,"      Hi there, did you know Gemini supports physical Yubikey security key for 2FA? Here is a link to a resource with more information:  Also, we'd love to send you a yubikey free of charge for your personal use!",0.557142857142857,0.2333333333333333,Positive
2,      Hi there! We messaged you to help you solve this.,0.0,0.0,Neutral
3,  Hi there! Please message us your support ticket ID.,0.0,0.0,Neutral
4,  Hi there! Please message us your support ticket ID.,0.0,0.0,Neutral
5,"We have teamed up with the amazing folks at  to host a women-focused Crypto 101 webinar on November 23rd, 11AM to 12PM HKT/SGT.

Ask any burning questions. Let us demystify crypto for you! Register for the free webinar here⬇️ GeminiAPAC
 ",0.8500000000000001,0.5750000000000001,Positive
6,Gemini x MATIC Twitter Live ,0.5,0.13636363636363635,Positive
7,"wagbtc (📜,📜)
 ",0.0,0.0,Neutral
8,"📢Join us for a Twitter AMA with  on November 16th from 7AM-8AM SGT / 7PM-8PM ET on Twitter Live!

Do you have questions for Polygon, the creators of $MATIC? Comment them down below and we will do our best to answer them⬇️ ",0.362962962962963,0.3382996632996633,Positive
9,": Dear SHIB army,  welcomes you. Let's go! 🚀

",0.0,0.0,Neutral
0, Having to tip the guy who fills up your car in places that require full service.,0.55,0.35,Positive
1,"Lol this was not a photoshop. Here's the link to the actual article. 
",0.39999999999999997,0.4,Positive
2,The world's most successful quant switches to meme investing after prized Medallion Fund breaks. ,0.725,0.625,Positive
3,"Latest bullish additions to my collection:

_eggs
_io


what am I missing?",0.47500000000000003,0.15,Positive
4,: A Tesla to someone in a crosswalk,0.0,0.0,Neutral
5,  That's like saying your car has a V8 engine and a tank full of gas but then asking why the headlight is out.,0.55,0.35,Positive
6,"My Diamond Hands NFT got the the OG makeover. Plus I got a sneak peak at the bulls (claimable by diamond hands owners), and they're unreal. Artist  is a true prodigy.
",0.65,0.35,Positive
7, There's a couple of central exchanges that are easy. Bridge across networks is incoming.,0.5416666666666667,0.21666666666666667,Positive
8,": While you lost money this week Nancy Pelosi was up 35%

",0.0,0.0,Neutral
9, token continues to deliver on promises of utility and value. ,0.0,0.0,Neutral
0,We hit 1 Million Twitter followers! Thank you for the support 🥳💜 ,0.0,0.0,Neutral
1,"🤔 Did you know that you can stake Cardano ADA on Kraken?

Receive initial annual staking rewards between 4-6%, issued weekly with instant stake &amp; unstake. 

Get started:  $ADA ",0.3333333333333333,0.0,Neutral
2,"Working together, the crypto industry can make sure bad actors are kept out of crypto exchanges &amp; trading platforms 🤝

Read more from Ian Mynot, Kraken's FIU Manager &amp; former NCA head of the UK's Financial Intelligence Unit. ",0.4111111111111111,0.06000000000000003,Positive
3,"Litecoin is widely considered to be the first successful “alternative cryptocurrency” 👨‍🚀

The 2011 release inspired a wave of developers to try to expand the user base for crypto by altering Bitcoin’s code &amp; using it to launch new networks.

Learn more:  ",0.6063131313131314,0.12272727272727273,Positive
4,"🏎💨 Fund your Kraken account in just a few clicks.

We’re enabling faster funding for our clients in Germany, the UK &amp; France. 

Stay tuned as we add more European countries! 

 ",0.19999999999999998,0.09999999999999999,Positive
5,"Polkadot &amp; Kusama parachain auctions offer a unique way for developers to build new blockchains on an existing network 🎡

Read the report from Kraken Intelligence to learn more ⬇️ ",0.6515151515151515,0.3371212121212121,Positive
6,"🌙  talks 's product strategy with : 

Check out all of our podcast episodes on Spotify:  ",0.0,0.0,Neutral
7,"✨ Ethereum vs. Bitcoin

Check out a side-by-side comparison of the two biggest blockchains in terms of value &amp; influence. 

 ",0.0,0.0,Neutral
8,"Bitcoin’s biggest upgrade yet is here! 

Taproot will:
🥕 Augment user privacy
🥕 Enable new kinds of smart contracts
🥕 Push scalability to new heights

Get the low-down 👇
 ",0.5173160173160173,0.16233766233766234,Positive
9,"Get in control of your crypto 😎

Read Wallet Security 101 for tips on how to securely store, transfer &amp; transact with crypto. ",0.6,0.4,Positive
0,"Here are more details and some legal stuff you might want to check out ...

No Purch Necessary. US only (excl HI) 18+ Ends 11/23/21. 

RULES: ",0.675,0.175,Positive
1,"All this crypto could be yours! 🤑

All you have to do is opt-in and trade $100 in any crypto on Coinbase for your chance to win $250K in USDC. So easy! 

Go here to get started 👇
 ",0.6166666666666667,0.6708333333333334,Positive
2,"How will Coinbase evolve in a decentralized world?

_armstrong stopped by the Around The Block podcast to share his thoughts.

Full episode here →  ",0.55,0.35,Positive
3,": Excited to share my convo with  on the future of NFTs!!

Full Vid:  ",0.47500000000000003,0.24166666666666667,Positive
4,"Time to learn and earn more crypto!

This time we’re diving into Enzyme. What is Enzyme, you ask? Enzyme (MLN) is a protocol that aims to facilitate on-chain asset management for the DeFi ecosystem.

Sign up to earn 👉  ",0.5,0.625,Positive
5,"How would you use blockchain technology to change the world? 

Help change the world by submitting your novel vision for harnessing this technology.  is crowdsourcing proposals that could make an impact.

Submit your ideas here👇",0.0,0.0,Neutral
6,"ALCX, ENS, GALA, GYEN and POWR are now live on  &amp; in the Coinbase iOS &amp; Android apps. 

Coinbase customers can log in now to buy, sell, convert, send, receive or store ALCX, ENS, GALA, GYEN and POWR

 ",0.5,0.13636363636363635,Positive
7,"The story of  and how it was born ...

Join _armstrong on ’s, , a podcast about innovators, entrepreneurs, idealists, and the movements they built. Hosted by .

Listen now👇",0.0,0.0,Neutral
8,"🔴 Live now on  BUIDLCrypto

Hosted by , and joined by  ➕ leading NFT artists , , and . 

Tune in 👇
 ",0.5,0.13636363636363635,Positive
9,": 1/ I had a great time hosting our BUIDLCrypto chat about all things NFTs with  of _io, …",0.75,0.8,Positive
